2015-4-28,http://www.apinpai.com/,采蘑菇的小姑娘;小蓓蕾组合;90;儿歌,  216,1392.6800
2015-8-24,http://www.apinpai.com/,我;张国荣;80;励志,  273,1447.1700
2015-12-14,http://www.movie.com/dor/,《恶棍天使》;2015.12.24;2016.2.13;天津橙子映像传媒有限公司、北京光线影业有限公司;邓超、俞白眉;邓超，孙俪，梁超，代乐乐;喜剧/荒诞/爱情;票房（万）64959.0 ;4.0 ;
2015-4-2,http://bj.qu114.com/,my way;张敬轩;90;励志,   52,337.2700
2015-12-19,http://www.movie.com/dor/,《失孤》;2015.3.20;2015.5.3;华谊兄弟传媒集团、源合圣影视、映艺娱乐;彭三源;刘德华，井柏然，梁家辉，吴君如;剧情、社会;票房（万）21617.9 ;6.4 ;
2015-5-28,http://www.favolist.com/,屋顶;温岚;80;励志,  217,903.2900
2015-8-1,http://www.apinpai.com/,小兔子乖乖;小蓓蕾组合;90;儿歌,  184,473.0700
2015-8-6,http://www.99inf.com/,光辉岁月;beyond;80;励志,   72,1051.7300
2015-6-28,http://www.qudee.com/,逃脱;李玟;90;伤感,  123,483.2300
2015-8-7,http://www.alifenfen.com/,星;邓丽君;80;励志,  257,1779.3600
2015-7-15,http://www.waaku.com/,我心是海洋;蔡琴;80;励志,  210,1240.4900
2015-4-5,http://www.yifawang.cn/,同道中人;张国荣;80;励志,   42,963.8500
2015-12-22,http://www.movie.com/bor/12386／,《将错就错》;2015.3.5;2015.3.29;中国电影股份有限公司等;王宁;小沈阳，田亮，陈小春，熊黛林;爱情、喜剧;票房（万）3937.4 ;3.8 ;
2015-6-29,http://www.apinpai.com/,借过;容祖儿;90;伤感,   16,1869.6800
2015-4-26,http://info.tianya.cn,最冷一天;陈奕迅;90;伤感,  259,554.3500
2015-4-6,http://www.apinpai.com/,加油;林俊杰/mc hotdog;90;励志,  252,644.2200
2015-7-27,http://www.apinpai.com/,firework;katy perry;90;励志,   71,697.2000
2015-6-8,http://beijing.faxinxi.cn/,给所有知道我名字的人;赵传;80;励志,  174,1258.1300
2015-7-13,http://www.denghuo.com/,逃脱;李玟;90;伤感,  253,333.0400
2015-12-15,http://www.movie.com/dor/,《少年班》;2015.6.19;2015.7.19;工夫影业；华谊兄弟;肖洋;孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森;青春、校园、喜剧;票房（万）5068.7 ;5.7 ;
2015-12-1,http://www.movie.com/dor/,《既然青春留不住》;2015.10.23;2015.11.22;杭州和润影视有限公司;田蒙;张翰，陈乔恩，王啸坤，施予斐，贾盛强，廖娟;喜剧、爱情;票房（万）5020.3 ;4.5 ;
2015-8-5,http://www.waaku.com/,永远不要说放弃;童安格;80;励志,  261,1353.8300
